name,surname,course,gender,stroke,time
ANDREA,NERI,SCM,Uomini,400m Stile Libero,251.85
MARCO,CAMBI,SCM,Uomini,100m Farfalla,56.87
NICCOLO',DINI,SCM,Uomini,200m Rana,139.94
LEONE,MERCANTI,SCM,Uomini,200m Dorso,121.56
DAVIDE,BATTAGLIA,SCM,Uomini,100m Stile Libero,112.11
ANDREA,NERI,SCM,Uomini,400m Misti,281.12
Valdinievole,Team,SCM,Uomini,4x100m Misti,225.2
MARCO,CAMBI,SCM,Uomini,200m Misti,129.20
DAVIDE,BATTAGLIA,SCM,Uomini,200m Stile Libero,108.22
NICCOLO',DINI,SCM,Uomini,100m Rana,64.41
LEONE,MERCANTI,SCM,Uomini,100m Dorso,56.73
MATTEO,MENGHINI,SCM,Uomini,200m Farfalla,132.27
DAVIDE,BATTAGLIA,SCM,Uomini,50m Stile Libero,23.13
ALESSIO,RICCIARDI,SCM,Uomini,1500m Stile Libero,1024.89
Valdinievole,Team,SCM,Uomini,4x100m Stile Libero,208.6
